e2:55:b8:29:6d:c0,B1,51
38:17:c3:f2:01:42,B1,51
e6:55:b8:29:6d:c0,B1,51
e6:55:b8:29:6c:38,D1,53
e2:55:a8:29:6c:38,D1,53
e2:55:b8:29:6c:38,D1,53
e6:55:b8:29:55:70,A1,47
e2:55:a8:29:55:70,A1,47
e2:55:a8:29:55:76,A1,47
e4:55:a8:29:60:15,D2,70
e4:55:a8:29:64:69,D2,70
f6:55:a8:29:60:15,D2,70
e4:55:a8:29:67:1e,C1,41
e2:55:a8:29:67:1e,C1,41
f6:55:a8:29:67:1e,C1,41
f6:55:b8:29:67:1e,C2,63
e6:55:b8:29:67:1e,C2,63
e2:55:b8:29:67:1e,C2,63
e6:55:b8:29:6d:c0,B2,62
38:17:c3:f2:01:41,B2,62
f6:55:b8:29:6d:c0,B2,62
e6:55:b8:29:55:70,A2,69
e2:55:b8:29:55:70,A2,69
38:17:c3:f2:01:42,A2,69
e2:55:a8:29:51:84,A3,46
f6:55:a8:29:51:84,A3,46
e4:55:a8:29:51:84,A3,46
e4:55:a8:29:51:84,A4,48
f6:55:a8:29:51:84,A4,48
f6:55:b8:29:56:d7,A4,48
38:17:c3:f2:01:41,B3,51
38:17:c3:f2:01:42,B3,51
38:17:c3:f2:01:43,B3,51
38:17:c3:f2:01:43,B4,52
38:17:c3:f2:01:42,B4,52
38:17:c3:f2:01:41,B4,52
38:17:c3:f2:01:40,C3,57
38:17:c3:f2:01:41,C3,57
38:17:c3:f2:01:42,C3,57
e4:55:a8:29:4d:ef,D3,46
e2:55:a8:29:4d:ef,D3,46
f6:55:a8:29:4d:ef,D3,46
f6:55:b8:29:4d:ef,D4,45
e2:55:b8:29:4d:ef,D4,45
e6:55:b8:29:4d:ef,D4,45
38:17:c3:f2:01:43,C4,59
38:17:c3:f2:01:42,C4,59
38:17:c3:f2:01:41,C4,59
